[2025-02-23 16:48:36] [ERROR] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: Error: bbb
[2025-02-23 17:19:56] [ERROR] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: err:Error: aaa
[2025-02-23 17:38:19] [ERROR] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: Error: aaa
[2025-02-24 10:27:17] [error] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: Error: aaa
[2025-02-24 10:28:03] [ERROR] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: Error: aaa
[2025-02-24 10:29:20] [ERROR] POST /frontuserinfo/v1/volumes | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {"userName":"testuser","password":"f","userBirthday":"20250101"} | ip: ::1 | ERROR: Error: aaa
[2025-03-04 11:23:10] [ERROR] GET /videoinfo/v1/volumes?q=%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0 | User-Agent: PostmanRuntime/7.43.0 | Query: {"q":"プログラミング"} | Request Body: {} | ip: ::1 | ERROR: Error: ERROR:Error: 設定ファイルにYouTubeDataApiのAPIキーが存在しません。 endpoint:/videoinfo/v1/volumes keyword:[object Object]
[2025-03-04 16:58:54] [ERROR] GET /videoinfo/v1/volumes?q=%E3%83%97%E3%83%AD%E3%82%B0%E3%83%A9%E3%83%9F%E3%83%B3%E3%82%B0 | User-Agent: PostmanRuntime/7.43.0 | Query: {"q":"プログラミング"} | Request Body: {} | ip: ::1 | ERROR: Error: ERROR:Error: {"message":"YouTube Data Api(動画一覧)の呼び出しでエラーが発生しました。","url":"[object Object]/search?maxResults=10&q=プログラミング&key=AIzaSyAdvIUoFTjTKYkYHIjeFj3U8kMX5OOH13M&part=snippet","error":{"code":"ERR_INVALID_URL","input":"[object Object]/search?maxResults=10&q=プログラミング&key=AIzaSyAdvIUoFTjTKYkYHIjeFj3U8kMX5OOH13M&part=snippet"}} endpoint:/videoinfo/v1/volumes keyword:[object Object]
[2025-03-05 22:13:57] [ERROR] GET /videoinfo/v1/volumes/dD_KwXU9meA | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {} | ip: ::1 | ERROR: Error: ERROR:Error: {"message":"YouTube Data Api(動画詳細)の呼び出しでエラーが発生しました。","url":"https://www.googleapis.com/youtube/v3/videos?q=function next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }&key=AIzaSyAdvIUoFTjTKYkYHIjeFj3U8kMX5OOH13M&part=snippet","error":{"message":"Request failed with status code 400","name":"AxiosError","stack":"AxiosError: Request failed with status code 400\n    at settle (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\settle.js:19:12)\n    at Unzip.handleStreamEnd (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\adapters\\http.js:599:11)\n    at Unzip.emit (node:events:531:35)\n    at Unzip.emit (node:domain:488:12)\n    at endReadableNT (node:internal/streams/readable:1696:12)\n    at processTicksAndRejections (node:internal/process/task_queues:82:21)\n    at Axios.request (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\Axios.js:45:41)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.7.9","Accept-Encoding":"gzip, compress, deflate, br"},"method":"get","url":"https://www.googleapis.com/youtube/v3/videos?q=function next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }&key=AIzaSyAdvIUoFTjTKYkYHIjeFj3U8kMX5OOH13M&part=snippet"},"code":"ERR_BAD_REQUEST","status":400}} endpoint:/videoinfo/v1/volumes/:id id:[object Object]
[2025-03-05 22:22:58] [ERROR] GET /videoinfo/v1/volumes/dD_KwXU9meA | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {} | ip: ::1 | ERROR: Error: ERROR:Error: {"message":"YouTube Data Api(動画詳細)の呼び出しでエラーが発生しました。","url":"https://www.googleapis.com/youtube/v3/videosfunction next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }","error":{"message":"Request failed with status code 404","name":"AxiosError","stack":"AxiosError: Request failed with status code 404\n    at settle (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\settle.js:19:12)\n    at IncomingMessage.handleStreamEnd (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\adapters\\http.js:599:11)\n    at IncomingMessage.emit (node:events:531:35)\n    at IncomingMessage.emit (node:domain:488:12)\n    at endReadableNT (node:internal/streams/readable:1696:12)\n    at processTicksAndRejections (node:internal/process/task_queues:82:21)\n    at Axios.request (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\Axios.js:45:41)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.7.9","Accept-Encoding":"gzip, compress, deflate, br"},"method":"get","url":"https://www.googleapis.com/youtube/v3/videosfunction next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }"},"code":"ERR_BAD_REQUEST","status":404}} endpoint:/videoinfo/v1/volumes/:id id:[object Object]
[2025-03-05 22:26:11] [ERROR] GET /videoinfo/v1/volumes/dD_KwXU9meA | User-Agent: PostmanRuntime/7.43.0 | Query: {} | Request Body: {} | ip: ::1 | ERROR: Error: ERROR:Error: {"message":"YouTube Data Api(動画詳細)の呼び出しでエラーが発生しました。","url":"https://www.googleapis.com/youtube/v3/videosfunction next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }","error":{"message":"Request failed with status code 404","name":"AxiosError","stack":"AxiosError: Request failed with status code 404\n    at settle (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\settle.js:19:12)\n    at IncomingMessage.handleStreamEnd (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\adapters\\http.js:599:11)\n    at IncomingMessage.emit (node:events:531:35)\n    at IncomingMessage.emit (node:domain:488:12)\n    at endReadableNT (node:internal/streams/readable:1696:12)\n    at processTicksAndRejections (node:internal/process/task_queues:82:21)\n    at Axios.request (C:\\Express\\videomng-api\\node_modules\\axios\\lib\\core\\Axios.js:45:41)\n    at processTicksAndRejections (node:internal/process/task_queues:95:5)","config":{"transitional":{"silentJSONParsing":true,"forcedJSONParsing":true,"clarifyTimeoutError":false},"adapter":["xhr","http","fetch"],"transformRequest":[null],"transformResponse":[null],"timeout":5000,"xsrfCookieName":"XSRF-TOKEN","xsrfHeaderName":"X-XSRF-TOKEN","maxContentLength":-1,"maxBodyLength":-1,"env":{},"headers":{"Accept":"application/json, text/plain, */*","Content-Type":"application/json","User-Agent":"axios/1.7.9","Accept-Encoding":"gzip, compress, deflate, br"},"method":"get","url":"https://www.googleapis.com/youtube/v3/videosfunction next(err) {\n    // signal to exit route\n    if (err && err === 'route') {\n      return done();\n    }\n\n    // signal to exit router\n    if (err && err === 'router') {\n      return done(err)\n    }\n\n    // max sync stack\n    if (++sync > 100) {\n      return setImmediate(next, err)\n    }\n\n    var layer = stack[idx++]\n\n    // end of layers\n    if (!layer) {\n      return done(err)\n    }\n\n    if (layer.method && layer.method !== method) {\n      next(err)\n    } else if (err) {\n      layer.handle_error(err, req, res, next);\n    } else {\n      layer.handle_request(req, res, next);\n    }\n\n    sync = 0\n  }"},"code":"ERR_BAD_REQUEST","status":404}} endpoint:/videoinfo/v1/volumes/:id id:[object Object]
